Year,LocationID,LocationName,Geography_Type,County,DataSource,Category,Measure,Short_Question_Text,MeasureId,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Data_Value_Unit,Data_Value_Type,TotalPop18plus,TotalPopulation,Latitude,Longitude
2023,19701,19701,ZCTA,New Castle,BRFSS,Health-Related Social Needs,Lack of social and emotional support among adults,Lack of Social/Emotional Support,EMOTIONSPT,23.2,20.2,26.3,%,Crude prevalence,33580,42717,39.5838947,-75.6969951
2023,19701,19701,ZCTA,New Castle,BRFSS,Health-Related Social Needs,Loneliness among adults,Loneliness,LONELINESS,32.4,28.6,36.2,%,Crude prevalence,33580,42717,39.5838947,-75.6969951
2023,19701,19701,ZCTA,New Castle,BRFSS,Health-Related Social Needs,Received food stamps in the past 12 months among adults,Food Stamps,FOODSTAMP,11.2,9.4,12.9,%,Crude prevalence,33580,42717,39.5838947,-75.6969951
2023,19701,19701,ZCTA,New Castle,BRFSS,Health-Related Social Needs,Utility services shut-off threat in the past 12 months among adults,Utility Services Threat,SHUTUTILITY,7.8,6.7,8.8,%,Crude prevalence,33580,42717,39.5838947,-75.6969951
2023,19702,19702,ZCTA,New Castle,BRFSS,Health-Related Social Needs,Food insecurity in the past 12 months among adults,Food Insecurity,FOODINSECU,15.7,14.0,17.6,%,Crude prevalence,42790,55653,39.6181998,-75.7297243
2023,19702,19702,ZCTA,New Castle,BRFSS,Health-Related Social Needs,Housing insecurity in the past 12 months among adults,Housing Insecurity,HOUSINSECU,13.6,12.0,15.3,%,Crude prevalence,42790,55653,39.6181998,-75.7297243
2023,19702,19702,ZCTA,New Castle,BRFSS,Health-Related Social Needs,Lack of reliable transportation in the past 12 months among adults,Transportation Barriers,LACKTRPT,8.7,7.7,9.7,%,Crude prevalence,42790,55653,39.6181998,-75.7297243
2023,19702,19702,ZCTA,New Castle,BRFSS,Health-Related Social Needs,Lack of social and emotional support among adults,Lack of Social/Emotional Support,EMOTIONSPT,24.2,21.2,27.3,%,Crude prevalence,42790,55653,39.6181998,-75.7297243
2023,19702,19702,ZCTA,New Castle,BRFSS,Health-Related Social Needs,Loneliness among adults,Loneliness,LONELINESS,33.5,29.6,37.3,%,Crude prevalence,42790,55653,39.6181998,-75.7297243
2023,19702,19702,ZCTA,New Castle,BRFSS,Health-Related Social Needs,Received food stamps in the past 12 months among adults,Food Stamps,FOODSTAMP,12.8,11.1,14.6,%,Crude prevalence,42790,55653,39.6181998,-75.7297243
2023,19702,19702,ZCTA,New Castle,BRFSS,Health-Related Social Needs,Utility services shut-off threat in the past 12 months among adults,Utility Services Threat,SHUTUTILITY,8.6,7.5,9.7,%,Crude prevalence,42790,55653,39.6181998,-75.7297243
2023,19703,19703,ZCTA,New Castle,BRFSS,Health-Related Social Needs,Food insecurity in the past 12 months among adults,Food Insecurity,FOODINSECU,14.4,12.6,16.3,%,Crude prevalence,12679,16175,39.8015141,-75.4538529
2023,19703,19703,ZCTA,New Castle,BRFSS,Health-Related Social Needs,Housing insecurity in the past 12 months among adults,Housing Insecurity,HOUSINSECU,12.7,11.2,14.5,%,Crude prevalence,12679,16175,39.8015141,-75.4538529
2023,19703,19703,ZCTA,New Castle,BRFSS,Health-Related Social Needs,Lack of reliable transportation in the past 12 months among adults,Transportation Barriers,LACKTRPT,8.1,7.2,9.1,%,Crude prevalence,12679,16175,39.8015141,-75.4538529
2023,19703,19703,ZCTA,New Castle,BRFSS,Health-Related Social Needs,Lack of social and emotional support among adults,Lack of Social/Emotional Support,EMOTIONSPT,23.6,20.8,26.7,%,Crude prevalence,12679,16175,39.8015141,-75.4538529
2023,19703,19703,ZCTA,New Castle,BRFSS,Health-Related Social Needs,Loneliness among adults,Loneliness,LONELINESS,33.0,29.3,37.0,%,Crude prevalence,12679,16175,39.8015141,-75.4538529
2023,19703,19703,ZCTA,New Castle,BRFSS,Health-Related Social Needs,Received food stamps in the past 12 months among adults,Food Stamps,FOODSTAMP,11.6,9.9,13.5,%,Crude prevalence,12679,16175,39.8015141,-75.4538529
2023,19703,19703,ZCTA,New Castle,BRFSS,Health-Related Social Needs,Utility services shut-off threat in the past 12 months among adults,Utility Services Threat,SHUTUTILITY,8.0,7.0,9.1,%,Crude prevalence,12679,16175,39.8015141,-75.4538529
2023,19706,19706,ZCTA,New Castle,BRFSS,Health-Related Social Needs,Food insecurity in the past 12 months among adults,Food Insecurity,FOODINSECU,12.3,10.2,14.7,%,Crude prevalence,1528,1938,39.5749538,-75.5906758
2023,19706,19706,ZCTA,New Castle,BRFSS,Health-Related Social Needs,Housing insecurity in the past 12 months among adults,Housing Insecurity,HOUSINSECU,10.6,8.9,12.5,%,Crude prevalence,1528,1938,39.5749538,-75.5906758
2023,19706,19706,ZCTA,New Castle,BRFSS,Health-Related Social Needs,Lack of reliable transportation in the past 12 months among adults,Transportation Barriers,LACKTRPT,7.4,6.3,8.5,%,Crude prevalence,1528,1938,39.5749538,-75.5906758
2023,19706,19706,ZCTA,New Castle,BRFSS,Health-Related Social Needs,Lack of social and emotional support among adults,Lack of Social/Emotional Support,EMOTIONSPT,21.4,18.2,24.6,%,Crude prevalence,1528,1938,39.5749538,-75.5906758
2023,19706,19706,ZCTA,New Castle,BRFSS,Health-Related Social Needs,Loneliness among adults,Loneliness,LONELINESS,31.6,27.6,35.4,%,Crude prevalence,1528,1938,39.5749538,-75.5906758
2023,19706,19706,ZCTA,New Castle,BRFSS,Health-Related Social Needs,Received food stamps in the past 12 months among adults,Food Stamps,FOODSTAMP,10.3,8.2,12.7,%,Crude prevalence,1528,1938,39.5749538,-75.5906758
2023,19706,19706,ZCTA,New Castle,BRFSS,Health-Related Social Needs,Utility services shut-off threat in the past 12 months among adults,Utility Services Threat,SHUTUTILITY,6.9,5.8,8.1,%,Crude prevalence,1528,1938,39.5749538,-75.5906758
2023,19707,19707,ZCTA,New Castle,BRFSS,Health-Related Social Needs,Food insecurity in the past 12 months among adults,Food Insecurity,FOODINSECU,5.8,4.9,6.8,%,Crude prevalence,13825,17274,39.785594,-75.68364
2023,19707,19707,ZCTA,New Castle,BRFSS,Health-Related Social Needs,Housing insecurity in the past 12 months among adults,Housing Insecurity,HOUSINSECU,5.2,4.4,6.0,%,Crude prevalence,13825,17274,39.785594,-75.68364
2023,19707,19707,ZCTA,New Castle,BRFSS,Health-Related Social Needs,Lack of reliable transportation in the past 12 months among adults,Transportation Barriers,LACKTRPT,3.8,3.3,4.4,%,Crude prevalence,13825,17274,39.785594,-75.68364
2023,19707,19707,ZCTA,New Castle,BRFSS,Health-Related Social Needs,Lack of social and emotional support among adults,Lack of Social/Emotional Support,EMOTIONSPT,17.6,15.1,20.2,%,Crude prevalence,13825,17274,39.785594,-75.68364
2023,19707,19707,ZCTA,New Castle,BRFSS,Health-Related Social Needs,Loneliness among adults,Loneliness,LONELINESS,27.4,23.9,30.9,%,Crude prevalence,13825,17274,39.785594,-75.68364
2023,19707,19707,ZCTA,New Castle,BRFSS,Health-Related Social Needs,Received food stamps in the past 12 months among adults,Food Stamps,FOODSTAMP,3.8,3.1,4.6,%,Crude prevalence,13825,17274,39.785594,-75.68364
2023,19707,19707,ZCTA,New Castle,BRFSS,Health-Related Social Needs,Utility services shut-off threat in the past 12 months among adults,Utility Services Threat,SHUTUTILITY,3.2,2.8,3.8,%,Crude prevalence,13825,17274,39.785594,-75.68364
2023,19709,19709,ZCTA,New Castle,BRFSS,Health-Related Social Needs,Food insecurity in the past 12 months among adults,Food Insecurity,FOODINSECU,10.8,9.4,12.2,%,Crude prevalence,36764,49599,39.4943689,-75.67747
2023,19709,19709,ZCTA,New Castle,BRFSS,Health-Related Social Needs,Housing insecurity in the past 12 months among adults,Housing Insecurity,HOUSINSECU,10.0,8.7,11.3,%,Crude prevalence,36764,49599,39.4943689,-75.67747
