Year,LocationID,LocationName,Geography_Type,County,DataSource,Category,Measure,Short_Question_Text,MeasureId,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Data_Value_Unit,Data_Value_Type,TotalPop18plus,TotalPopulation,Latitude,Longitude
2023,19706,19706,ZCTA,New Castle,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,Current Cigarette Smoking,CSMOKING,13.5,11.2,16.1,%,Crude prevalence,1528,1938,39.5749538,-75.5906758
2023,19706,19706,ZCTA,New Castle,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,Physical Inactivity,LPA,25.5,21.4,29.8,%,Crude prevalence,1528,1938,39.5749538,-75.5906758
2022,19706,19706,ZCTA,New Castle,BRFSS,Health Risk Behaviors,Short sleep duration among adults,Short Sleep Duration,SLEEP,34.3,29.5,39.4,%,Crude prevalence,1528,1938,39.5749538,-75.5906758
2023,19707,19707,ZCTA,New Castle,BRFSS,Health Risk Behaviors,Binge drinking among adults,Binge Drinking,BINGE,14.6,12.3,17.0,%,Crude prevalence,13825,17274,39.785594,-75.68364
2023,19707,19707,ZCTA,New Castle,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,Current Cigarette Smoking,CSMOKING,7.2,6.1,8.4,%,Crude prevalence,13825,17274,39.785594,-75.68364
2023,19707,19707,ZCTA,New Castle,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,Physical Inactivity,LPA,18.8,16.0,22.2,%,Crude prevalence,13825,17274,39.785594,-75.68364
2022,19707,19707,ZCTA,New Castle,BRFSS,Health Risk Behaviors,Short sleep duration among adults,Short Sleep Duration,SLEEP,28.6,24.4,33.3,%,Crude prevalence,13825,17274,39.785594,-75.68364
2023,19709,19709,ZCTA,New Castle,BRFSS,Health Risk Behaviors,Binge drinking among adults,Binge Drinking,BINGE,16.4,13.9,19.1,%,Crude prevalence,36764,49599,39.4943689,-75.67747
2023,19709,19709,ZCTA,New Castle,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,Current Cigarette Smoking,CSMOKING,10.2,8.7,11.6,%,Crude prevalence,36764,49599,39.4943689,-75.67747
2023,19709,19709,ZCTA,New Castle,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,Physical Inactivity,LPA,21.5,18.3,24.9,%,Crude prevalence,36764,49599,39.4943689,-75.67747
2022,19709,19709,ZCTA,New Castle,BRFSS,Health Risk Behaviors,Short sleep duration among adults,Short Sleep Duration,SLEEP,34.7,29.9,39.8,%,Crude prevalence,36764,49599,39.4943689,-75.67747
2023,19710,19710,ZCTA,New Castle,BRFSS,Health Risk Behaviors,Binge drinking among adults,Binge Drinking,BINGE,14.6,12.3,16.9,%,Crude prevalence,93,108,39.789573,-75.5846839
2023,19710,19710,ZCTA,New Castle,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,Current Cigarette Smoking,CSMOKING,6.8,4.7,9.5,%,Crude prevalence,93,108,39.789573,-75.5846839
2023,19710,19710,ZCTA,New Castle,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,Physical Inactivity,LPA,17.9,14.2,22.3,%,Crude prevalence,93,108,39.789573,-75.5846839
2022,19710,19710,ZCTA,New Castle,BRFSS,Health Risk Behaviors,Short sleep duration among adults,Short Sleep Duration,SLEEP,28.5,24.1,33.2,%,Crude prevalence,93,108,39.789573,-75.5846839
2023,19711,19711,ZCTA,New Castle,BRFSS,Health Risk Behaviors,Binge drinking among adults,Binge Drinking,BINGE,16.5,14.1,19.2,%,Crude prevalence,40581,48477,39.7137809,-75.7408261
2023,19711,19711,ZCTA,New Castle,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,Current Cigarette Smoking,CSMOKING,10.2,8.8,11.6,%,Crude prevalence,40581,48477,39.7137809,-75.7408261
2023,19711,19711,ZCTA,New Castle,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,Physical Inactivity,LPA,22.6,19.2,25.9,%,Crude prevalence,40581,48477,39.7137809,-75.7408261
2022,19711,19711,ZCTA,New Castle,BRFSS,Health Risk Behaviors,Short sleep duration among adults,Short Sleep Duration,SLEEP,32.7,28.1,37.7,%,Crude prevalence,40581,48477,39.7137809,-75.7408261
2023,19713,19713,ZCTA,New Castle,BRFSS,Health Risk Behaviors,Binge drinking among adults,Binge Drinking,BINGE,15.3,12.9,17.7,%,Crude prevalence,25160,31867,39.6707511,-75.7101225
2023,19713,19713,ZCTA,New Castle,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,Current Cigarette Smoking,CSMOKING,13.4,11.6,15.2,%,Crude prevalence,25160,31867,39.6707511,-75.7101225
2023,19713,19713,ZCTA,New Castle,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,Physical Inactivity,LPA,28.0,24.2,32.0,%,Crude prevalence,25160,31867,39.6707511,-75.7101225
2022,19713,19713,ZCTA,New Castle,BRFSS,Health Risk Behaviors,Short sleep duration among adults,Short Sleep Duration,SLEEP,36.1,31.3,41.2,%,Crude prevalence,25160,31867,39.6707511,-75.7101225
2023,19717,19717,ZCTA,New Castle,BRFSS,Health Risk Behaviors,Binge drinking among adults,Binge Drinking,BINGE,19.6,16.6,22.7,%,Crude prevalence,6185,6201,39.678689,-75.7499623
2023,19717,19717,ZCTA,New Castle,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,Current Cigarette Smoking,CSMOKING,9.1,7.1,11.2,%,Crude prevalence,6185,6201,39.678689,-75.7499623
2023,19717,19717,ZCTA,New Castle,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,Physical Inactivity,LPA,23.5,19.0,28.3,%,Crude prevalence,6185,6201,39.678689,-75.7499623
2022,19717,19717,ZCTA,New Castle,BRFSS,Health Risk Behaviors,Short sleep duration among adults,Short Sleep Duration,SLEEP,37.7,32.6,42.9,%,Crude prevalence,6185,6201,39.678689,-75.7499623
