City_Name,State,PLACES_Pct_Any_Disability,PLACES_Pct_Arthritis,PLACES_Pct_BP_Medication,PLACES_Pct_Binge_Drinking,PLACES_Pct_COPD,PLACES_Pct_Cancer_NonSkin,PLACES_Pct_Cholesterol_Screening,PLACES_Pct_Cognitive_Disability,PLACES_Pct_Colorectal_Screening,PLACES_Pct_Coronary_Heart_Disease,PLACES_Pct_Current_Asthma,PLACES_Pct_Current_Smoking,PLACES_Pct_Dental_Visit,PLACES_Pct_Depression,PLACES_Pct_Diabetes,PLACES_Pct_Fair_Poor_Health,PLACES_Pct_Food_Insecurity,PLACES_Pct_Food_Stamps,PLACES_Pct_Frequent_Mental_Distress,PLACES_Pct_Frequent_Physical_Distress,PLACES_Pct_Hearing_Disability,PLACES_Pct_High_Blood_Pressure,PLACES_Pct_High_Cholesterol,PLACES_Pct_Housing_Insecurity,PLACES_Pct_Independent_Living_Disability,PLACES_Pct_Lack_Social_Support,PLACES_Pct_Loneliness,PLACES_Pct_Mammography,PLACES_Pct_Mobility_Disability,PLACES_Pct_Obesity,PLACES_Pct_Physical_Inactivity,PLACES_Pct_Routine_Checkup,PLACES_Pct_Self_Care_Disability,PLACES_Pct_Short_Sleep,PLACES_Pct_Stroke,PLACES_Pct_Teeth_Lost_65Plus,PLACES_Pct_Transportation_Barrier,PLACES_Pct_Uninsured_18_64,PLACES_Pct_Utility_Shutoff_Threat,PLACES_Pct_Vision_Disability
Lewes,Delaware,23.7,22.8,59.0,18.2,5.1,7.8,86.7,11.8,63.7,4.8,10.5,11.8,67.5,22.8,7.9,13.7,9.6,7.8,15.2,10.9,5.3,30.0,36.8,8.3,6.4,18.1,30.0,78.5,9.3,31.1,19.8,79.0,2.5,31.9,2.4,7.4,5.8,6.9,5.6,3.3
Lincoln,Delaware,32.1,25.2,62.2,15.1,7.4,6.3,84.3,16.2,58.1,6.2,11.8,17.9,55.4,22.3,12.2,22.0,21.2,18.9,18.3,14.4,6.0,37.2,37.2,16.8,9.8,25.0,34.9,79.5,14.6,38.4,30.5,79.4,4.4,38.2,3.7,14.8,10.9,12.2,11.3,6.0
Little Creek,Delaware,36.9,26.8,57.8,15.8,8.6,7.7,81.9,17.6,57.1,7.0,12.3,17.9,56.9,26.2,12.6,22.8,16.3,15.7,20.2,15.8,7.9,36.0,35.8,13.6,10.0,21.7,34.5,55.1,15.9,43.8,32.0,78.0,4.3,40.2,3.6,13.7,9.4,11.0,9.0,5.8
Long Neck,Delaware,25.7,23.7,58.7,18.0,5.8,7.7,86.1,13.1,63.6,5.1,11.0,13.9,64.4,24.1,8.3,14.8,10.6,8.5,16.9,11.9,5.7,30.6,36.8,9.2,7.0,19.7,31.6,77.7,10.1,32.3,22.2,78.5,2.7,33.0,2.6,9.8,6.3,7.5,6.1,3.6
Magnolia,Delaware,34.1,26.4,60.1,14.6,7.2,7.4,84.4,15.7,58.5,6.0,12.6,14.9,59.5,24.9,12.4,20.7,16.2,15.8,19.2,14.3,6.5,36.0,34.9,14.3,9.1,21.6,34.5,74.6,14.8,44.4,30.7,80.2,3.9,39.9,3.3,15.1,9.0,9.4,9.5,5.3
Middletown,Delaware,26.2,22.2,57.3,16.4,4.9,6.9,87.1,12.7,61.9,4.8,10.6,10.8,64.1,21.4,10.2,15.6,13.3,10.9,16.0,11.0,4.7,31.6,33.5,12.2,6.9,22.5,32.6,79.0,11.2,32.9,23.2,78.2,3.0,36.5,2.8,11.1,7.8,7.8,7.9,4.0
Milford,Delaware,33.6,25.6,61.8,14.4,7.5,6.8,83.9,16.4,57.9,6.1,12.0,16.8,57.8,22.9,12.5,22.8,21.5,20.0,18.4,14.8,6.3,36.4,36.8,17.3,9.9,23.4,34.5,76.6,15.2,40.6,32.0,79.6,4.5,38.5,3.5,14.1,11.1,13.4,11.6,6.3
Millsboro,Delaware,28.0,24.4,61.0,16.2,6.5,7.3,85.7,14.0,62.5,5.5,11.3,14.7,61.8,23.1,10.1,17.9,15.4,13.7,17.0,12.9,5.9,33.2,37.2,12.5,8.3,20.8,32.1,80.6,12.1,34.5,25.3,79.5,3.5,35.2,3.0,14.3,8.5,9.3,8.7,4.8
Millville,Delaware,24.6,23.3,58.7,18.2,5.4,7.8,86.3,12.4,63.7,4.9,10.7,12.6,70.3,23.6,8.1,14.1,9.8,7.9,16.0,11.4,5.5,30.0,36.9,8.5,6.7,18.5,30.6,81.4,9.7,31.6,21.0,78.6,2.6,30.7,2.5,7.4,5.9,7.2,5.7,3.4
Milton,Delaware,25.2,23.2,59.4,17.7,5.4,7.5,86.4,12.5,62.3,5.0,10.7,12.7,64.3,22.7,8.7,15.0,11.4,9.1,15.9,11.6,5.5,31.0,36.8,10.0,6.9,19.6,31.1,77.4,10.2,32.6,22.1,78.9,2.8,33.5,2.6,9.3,6.6,8.3,6.6,3.7
New Castle,Delaware,26.7,22.3,56.6,17.2,5.0,7.1,86.7,13.3,63.0,4.7,10.7,11.6,66.2,22.1,9.7,15.6,13.2,10.5,16.7,11.3,4.8,31.2,33.3,12.4,7.0,23.1,33.3,80.1,11.1,33.2,23.2,77.5,2.9,36.1,2.8,10.1,7.7,8.1,7.7,3.9
Newark,Delaware,29.1,23.5,57.4,16.3,6.1,7.6,84.8,14.5,59.0,5.4,10.6,12.9,62.0,23.7,10.5,17.7,15.6,14.6,17.3,12.4,5.6,31.9,34.8,12.6,8.4,20.9,31.5,76.4,12.3,33.3,25.3,77.4,3.5,35.5,3.0,11.2,9.4,8.2,9.0,4.9
Newport,Delaware,33.7,23.9,56.7,16.2,6.9,6.7,83.2,16.8,54.5,6.2,10.5,15.5,54.3,22.6,12.8,22.7,21.2,18.0,18.1,14.5,6.3,34.1,34.9,17.5,9.4,24.4,33.9,74.6,15.2,37.2,31.7,75.6,4.4,37.9,3.5,16.9,11.1,15.2,11.0,6.3
North Star,Delaware,19.7,19.6,53.8,18.6,3.4,7.9,88.6,9.4,63.3,3.9,9.2,7.1,73.6,21.2,7.2,10.0,6.0,4.0,13.3,8.5,4.3,25.6,33.7,5.9,4.5,18.0,29.2,80.6,7.3,25.6,16.1,77.3,1.7,30.4,1.9,4.8,4.2,4.6,3.6,2.3
