GEOID,Geography_Name,County,State,Total_Population,Median_Age,Pct_Age_65_Plus,Median_Household_Income,Pct_Below_Poverty,Pct_No_Health_Insurance,Pct_Commute_Public_Transit,Pct_Broadband_Internet,Pct_NonEnglish_Language_Home
10003010502,Census Tract 105.02; New Castle County; Delaware,,,6168,37.5,12.3,86250.0,8.6,3.3,0.1,96.8,7.3
10003010703,Census Tract 107.03; New Castle County; Delaware,,,1861,35.9,14.0,82917.0,35.1,0.3,8.5,100.0,8.4
10003010704,Census Tract 107.04; New Castle County; Delaware,,,3881,42.2,12.4,63750.0,18.1,3.2,3.6,95.3,15.1
10003010800,Census Tract 108; New Castle County; Delaware,,,4880,47.9,25.3,91271.0,7.7,1.8,3.0,92.9,7.3
10003010900,Census Tract 109; New Castle County; Delaware,,,2605,58.4,33.6,106154.0,6.5,3.5,0.0,93.2,3.8
10003011000,Census Tract 110; New Castle County; Delaware,,,3413,42.7,21.2,123867.0,2.1,4.8,1.2,92.4,9.5
10003011100,Census Tract 111; New Castle County; Delaware,,,2809,54.0,28.8,111136.0,6.2,3.2,2.8,94.7,7.6
10003011201,Census Tract 112.01; New Castle County; Delaware,,,2546,40.2,27.4,125948.0,5.2,1.0,0.7,91.8,24.6
10003011202,Census Tract 112.02; New Castle County; Delaware,,,4046,51.5,26.2,96800.0,3.2,1.4,5.5,89.5,8.2
10003011203,Census Tract 112.03; New Castle County; Delaware,,,4740,37.0,14.5,74216.0,10.6,2.4,11.2,92.3,14.0
10003011204,Census Tract 112.04; New Castle County; Delaware,,,3391,50.8,30.5,98886.0,5.1,0.0,3.0,98.3,7.0
10003011205,Census Tract 112.05; New Castle County; Delaware,,,2142,51.1,30.2,132917.0,6.3,0.5,0.6,98.5,8.1
10003011206,Census Tract 112.06; New Castle County; Delaware,,,4201,48.3,27.7,126087.0,4.2,3.1,0.5,97.2,4.5
10003011300,Census Tract 113; New Castle County; Delaware,,,2251,50.6,32.1,119634.0,2.3,4.1,2.9,83.7,5.6
10003011400,Census Tract 114; New Castle County; Delaware,,,3378,46.4,21.0,150081.0,1.6,3.7,2.6,90.8,6.6
10003011500,Census Tract 115; New Castle County; Delaware,,,3086,39.1,15.8,108295.0,3.0,4.4,0.6,97.5,5.5
10003011600,Census Tract 116; New Castle County; Delaware,,,3295,41.9,20.1,114423.0,2.5,4.5,0.0,98.2,5.9
10003011700,Census Tract 117; New Castle County; Delaware,,,4338,51.4,29.8,191667.0,4.4,1.0,0.0,97.6,14.3
10003011800,Census Tract 118; New Castle County; Delaware,,,4298,55.2,35.9,128343.0,6.1,1.5,4.9,93.8,18.2
10003011900,Census Tract 119; New Castle County; Delaware,,,3118,50.6,25.7,231542.0,12.7,4.6,5.0,97.0,14.4
10003012000,Census Tract 120; New Castle County; Delaware,,,4205,43.6,18.1,76250.0,8.0,5.8,1.8,95.6,18.0
10003012100,Census Tract 121; New Castle County; Delaware,,,3170,41.7,16.0,74417.0,6.3,4.9,0.0,93.9,6.9
10003012200,Census Tract 122; New Castle County; Delaware,,,4654,39.3,10.3,57981.0,10.2,11.9,0.0,89.7,12.8
10003012300,Census Tract 123; New Castle County; Delaware,,,3143,35.3,12.1,70238.0,26.7,15.3,0.0,91.7,25.7
10003012400,Census Tract 124; New Castle County; Delaware,,,4059,36.5,12.7,69576.0,11.4,3.4,4.4,93.3,22.6
10003012500,Census Tract 125; New Castle County; Delaware,,,5243,37.6,11.0,70725.0,9.1,11.8,0.0,92.1,32.0
10003012600,Census Tract 126; New Castle County; Delaware,,,2830,43.2,15.4,90080.0,3.1,2.4,0.0,91.4,5.8
10003012700,Census Tract 127; New Castle County; Delaware,,,4274,40.7,20.8,51951.0,11.6,3.3,1.4,86.5,12.6
10003012900,Census Tract 129; New Castle County; Delaware,,,4692,32.1,12.0,57335.0,19.7,7.8,2.6,88.5,18.7
10003013000,Census Tract 130; New Castle County; Delaware,,,1947,39.4,15.8,91392.0,2.5,2.3,0.0,96.2,10.1
10003013100,Census Tract 131; New Castle County; Delaware,,,2296,44.2,15.7,85985.0,4.1,10.0,0.8,85.6,24.3
10003013200,Census Tract 132; New Castle County; Delaware,,,2855,34.6,11.0,53291.0,25.0,14.3,0.0,89.5,23.7
10003013300,Census Tract 133; New Castle County; Delaware,,,1867,49.9,18.3,79712.0,2.9,5.5,0.5,93.7,16.5
10003013400,Census Tract 134; New Castle County; Delaware,,,2239,42.8,22.2,103950.0,7.5,3.9,0.6,94.0,6.5
10003013501,Census Tract 135.01; New Castle County; Delaware,,,6952,50.2,30.7,143199.0,2.2,3.3,2.2,94.2,9.9
10003013505,Census Tract 135.05; New Castle County; Delaware,,,3828,44.6,19.8,157857.0,2.7,1.4,0.0,96.8,13.7
10003013506,Census Tract 135.06; New Castle County; Delaware,,,4542,53.5,18.2,172303.0,3.1,1.8,0.0,100.0,12.7
10003013507,Census Tract 135.07; New Castle County; Delaware,,,1642,46.4,13.9,121094.0,4.7,3.4,2.5,94.6,14.7
10003013508,Census Tract 135.08; New Castle County; Delaware,,,6063,41.2,21.6,182596.0,1.9,1.6,0.0,98.2,11.7
10003013604,Census Tract 136.04; New Castle County; Delaware,,,4135,44.4,21.6,109625.0,2.0,5.4,1.1,96.6,9.6
10003013607,Census Tract 136.07; New Castle County; Delaware,,,5629,39.2,16.8,81967.0,7.2,4.7,0.3,96.9,18.4
10003013608,Census Tract 136.08; New Castle County; Delaware,,,2166,34.7,12.2,78269.0,13.7,3.8,3.1,89.9,15.4
10003013610,Census Tract 136.10; New Castle County; Delaware,,,5063,46.0,23.4,109675.0,4.9,1.6,0.2,94.3,19.7
10003013611,Census Tract 136.11; New Castle County; Delaware,,,5979,35.1,11.5,91312.0,8.5,1.9,0.0,95.0,4.4
10003013612,Census Tract 136.12; New Castle County; Delaware,,,5541,46.2,20.9,155000.0,0.9,1.3,0.0,98.0,28.0
10003013613,Census Tract 136.13; New Castle County; Delaware,,,5855,44.2,14.8,128871.0,4.1,5.1,0.0,97.4,13.2
10003013614,Census Tract 136.14; New Castle County; Delaware,,,3437,33.5,12.6,80732.0,10.5,6.3,0.5,97.6,27.9
10003013615,Census Tract 136.15; New Castle County; Delaware,,,3851,44.7,23.0,69833.0,4.7,3.8,3.5,84.5,24.0
10003013700,Census Tract 137; New Castle County; Delaware,,,4165,33.8,13.3,76707.0,13.5,10.6,0.0,92.0,29.7
10003013800,Census Tract 138; New Castle County; Delaware,,,6280,37.7,15.2,85639.0,4.4,1.9,0.0,95.4,30.9
10003013901,Census Tract 139.01; New Castle County; Delaware,,,3089,39.6,16.8,66759.0,4.9,9.1,0.6,90.0,28.1
10003013903,Census Tract 139.03; New Castle County; Delaware,,,5359,41.5,11.1,121932.0,4.3,4.0,0.8,97.7,15.4
10003013905,Census Tract 139.05; New Castle County; Delaware,,,3857,32.4,7.8,102614.0,5.2,0.0,0.0,97.5,17.0
10003013906,Census Tract 139.06; New Castle County; Delaware,,,4503,39.2,15.3,107250.0,0.8,1.8,1.8,98.9,25.0
10003014000,Census Tract 140; New Castle County; Delaware,,,4743,36.7,18.2,58264.0,20.9,12.1,3.7,93.6,25.8
10003014100,Census Tract 141; New Castle County; Delaware,,,4857,31.4,14.3,57900.0,13.0,10.1,2.1,97.9,25.2
10003014200,Census Tract 142; New Castle County; Delaware,,,1679,47.4,17.7,75577.0,4.0,4.9,0.0,97.8,11.9
10003014301,Census Tract 143.01; New Castle County; Delaware,,,1675,48.2,31.3,137294.0,0.0,2.1,1.2,96.1,5.1
10003014302,Census Tract 143.02; New Castle County; Delaware,,,5319,20.5,15.8,102292.0,8.9,2.4,5.3,100.0,12.3
10003014402,Census Tract 144.02; New Castle County; Delaware,,,2875,26.4,12.7,77950.0,21.0,4.5,0.5,97.5,11.9
10003014403,Census Tract 144.03; New Castle County; Delaware,,,3748,28.8,14.3,87813.0,18.1,3.3,0.3,97.2,21.5
10003014404,Census Tract 144.04; New Castle County; Delaware,,,4259,29.2,13.7,84107.0,19.8,5.7,2.2,87.4,33.2
10003014501,Census Tract 145.01; New Castle County; Delaware,,,2001,21.6,4.7,22731.0,61.8,4.2,1.9,85.9,13.4
10003014502,Census Tract 145.02; New Castle County; Delaware,,,6842,20.5,3.3,26284.0,63.2,5.4,0.9,92.6,10.0
10003014702,Census Tract 147.02; New Castle County; Delaware,,,1981,32.1,12.3,101810.0,13.2,7.2,0.0,90.3,24.2
10003014703,Census Tract 147.03; New Castle County; Delaware,,,5241,39.8,17.8,63782.0,10.4,13.1,0.5,85.8,26.3
10003014705,Census Tract 147.05; New Castle County; Delaware,,,5216,35.2,13.5,70703.0,11.6,9.2,0.6,91.6,34.5
10003014706,Census Tract 147.06; New Castle County; Delaware,,,3037,35.1,14.3,93203.0,10.7,4.2,1.1,93.6,28.0
10003014803,Census Tract 148.03; New Castle County; Delaware,,,3793,52.6,25.1,80100.0,9.4,1.9,0.0,92.5,20.7
10003014808,Census Tract 148.08; New Castle County; Delaware,,,6446,37.6,14.8,81688.0,3.5,5.8,3.4,91.2,23.9
10003014809,Census Tract 148.09; New Castle County; Delaware,,,8575,44.9,13.7,102833.0,9.1,7.1,0.5,95.1,16.0
10003014810,Census Tract 148.10; New Castle County; Delaware,,,7029,43.2,16.8,103226.0,6.2,1.8,1.7,96.0,13.5
10003014811,Census Tract 148.11; New Castle County; Delaware,,,6859,36.4,8.2,143252.0,3.0,2.5,1.1,98.5,26.3
10003014812,Census Tract 148.12; New Castle County; Delaware,,,4765,37.4,13.5,123526.0,3.8,1.5,0.0,99.5,13.1
10003014813,Census Tract 148.13; New Castle County; Delaware,,,5887,29.9,7.5,91306.0,5.7,12.3,0.8,90.9,23.3
10003014814,Census Tract 148.14; New Castle County; Delaware,,,4072,43.6,13.7,109244.0,3.3,6.5,1.9,97.8,14.5
10003014903,Census Tract 149.03; New Castle County; Delaware,,,8288,33.8,12.0,79003.0,17.0,14.1,0.4,94.2,33.7
10003014904,Census Tract 149.04; New Castle County; Delaware,,,5691,42.2,19.9,82967.0,7.0,2.4,6.3,80.5,15.8
10003014906,Census Tract 149.06; New Castle County; Delaware,,,5314,29.5,6.9,54961.0,18.4,12.9,6.9,94.6,19.8
10003014907,Census Tract 149.07; New Castle County; Delaware,,,4903,36.7,13.4,69632.0,4.2,14.0,0.4,83.1,30.7
10003014908,Census Tract 149.08; New Castle County; Delaware,,,2637,33.1,17.4,34453.0,17.8,2.6,9.1,81.9,9.4
10003014909,Census Tract 149.09; New Castle County; Delaware,,,6481,35.9,12.3,63947.0,8.3,6.7,1.9,91.5,18.6
10003015000,Census Tract 150; New Castle County; Delaware,,,5628,43.7,14.4,77974.0,13.9,7.8,2.8,87.6,18.9
10003015100,Census Tract 151; New Castle County; Delaware,,,3483,40.5,17.3,61417.0,12.0,8.8,2.3,85.5,5.7
10003015200,Census Tract 152; New Castle County; Delaware,,,6158,37.2,12.7,76631.0,8.4,9.5,2.1,84.4,27.9
10003015400,Census Tract 154; New Castle County; Delaware,,,2814,38.7,11.8,56870.0,14.9,4.8,9.6,95.9,16.3
10003015502,Census Tract 155.02; New Castle County; Delaware,,,2449,39.8,15.7,53100.0,22.8,14.7,4.9,80.3,26.0
10003015600,Census Tract 156; New Castle County; Delaware,,,2424,36.6,17.0,62000.0,6.3,9.7,0.5,85.5,19.4
10003015802,Census Tract 158.02; New Castle County; Delaware,,,2432,32.5,8.3,59890.0,5.1,9.0,0.0,89.8,36.9
10003015900,Census Tract 159; New Castle County; Delaware,,,3363,38.4,15.5,69107.0,9.3,6.6,10.4,87.6,9.5
10003016000,Census Tract 160; New Castle County; Delaware,,,2813,34.0,22.8,65234.0,15.8,9.7,0.0,85.3,25.9
10003016100,Census Tract 161; New Castle County; Delaware,,,2105,55.9,26.9,73997.0,4.6,2.2,0.5,92.9,4.1
