ZCTA,ALAND,AWATER,Total_Population,Median_Age,Pct_Age_65_Plus,Median_Household_Income,Pct_Below_Poverty,Pct_No_Health_Insurance,Pct_Commute_Public_Transit,Pct_Broadband_Internet,Pct_NonEnglish_Language_Home
19720,99205238,7967444,60514,40.1,15.2,72424.0,9.7,6.8,2.6,88.9,17.1
19716,1616341,0,0,-666666666.0,-666666666.0,,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
19713,33674265,12258,29952,38.2,17.5,67088.0,11.8,9.2,1.1,91.6,25.7
19717,668372,0,6129,19.3,0.0,,-666666666.0,2.3,1.6,-666666666.0,8.6
19711,70982873,10139,49746,35.2,16.6,89286.0,14.9,3.8,1.0,94.6,16.8
19804,18586023,171658,17986,39.4,16.2,71610.0,8.4,5.7,0.8,90.5,16.2
19801,11387006,2882427,16545,34.2,8.8,42453.0,29.6,5.4,12.3,82.7,10.6
19808,35614567,1654,38107,42.8,18.3,91847.0,6.8,5.7,0.8,93.9,18.5
19805,14291385,0,39610,36.5,13.5,55912.0,22.0,8.9,4.5,87.5,21.2
19809,17498943,4102426,15529,37.7,13.4,83923.0,12.3,2.7,2.2,95.4,9.2
19802,9023181,143910,26065,37.1,12.8,53907.0,21.5,5.5,9.4,83.4,7.8
19806,4414833,58498,10273,45.1,26.1,80196.0,11.9,3.0,1.9,88.4,5.0
19350,72479270,701993,10636,44.6,17.1,159038.0,3.3,3.1,1.2,98.6,6.4
19736,392108,0,17,-666666666.0,0.0,,0.0,0.0,-666666666.0,100.0,0.0
19707,34141661,60355,17011,44.6,22.3,164225.0,2.5,2.7,0.2,96.2,12.7
19710,1250691,0,26,58.4,0.0,,0.0,0.0,0.0,100.0,34.6
19807,47050144,887554,7846,52.5,31.4,143443.0,6.9,1.6,5.8,95.5,13.7
19803,32787508,25744,21437,47.3,24.2,122853.0,3.6,3.0,0.8,95.0,8.7
19732,4551207,0,364,65.2,51.4,171528.0,32.1,6.9,0.0,100.0,1.9
19703,10283832,2863836,16376,37.1,16.3,72979.0,9.7,5.1,5.2,86.0,15.1
19735,1163676,0,0,-666666666.0,-666666666.0,,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
19810,20453661,0,25569,47.4,25.9,102884.0,5.7,2.0,4.4,93.3,9.9
