Column,Source,Source Key,Geography Level
CHR_Uninsured_Pct_Quartile,County Health Rankings (CHR),chr_county,ZCTA (ZIP Code Tabulation Area)
CHR_PCP_Ratio_Population,County Health Rankings (CHR),chr_county,ZCTA (ZIP Code Tabulation Area)
Dentist_Ratio_Population,County Health Rankings (CHR),chr_county,ZCTA (ZIP Code Tabulation Area)
Mental_Health_Provider_Ratio,County Health Rankings (CHR),chr_county,ZCTA (ZIP Code Tabulation Area)
CHR_Preventable_Hospital_Stays_Rate,County Health Rankings (CHR),chr_county,ZCTA (ZIP Code Tabulation Area)
CHR_Mammography_Screening_Pct,County Health Rankings (CHR),chr_county,ZCTA (ZIP Code Tabulation Area)
CHR_Mammography_Screening_Pct_Quartile,County Health Rankings (CHR),chr_county,ZCTA (ZIP Code Tabulation Area)
CHR_Flu_Vaccination_Pct,County Health Rankings (CHR),chr_county,ZCTA (ZIP Code Tabulation Area)
CHR_Flu_Vaccination_Pct_Quartile,County Health Rankings (CHR),chr_county,ZCTA (ZIP Code Tabulation Area)
CHR_Data_Year,County Health Rankings (CHR),chr_county,ZCTA (ZIP Code Tabulation Area)
Population_Density_SqMi,Derived metrics (density and population counts),metrics,ZCTA (ZIP Code Tabulation Area)
Uninsured_Population_Count,Derived metrics (density and population counts),metrics,ZCTA (ZIP Code Tabulation Area)
Poverty_Population_Count,Derived metrics (density and population counts),metrics,ZCTA (ZIP Code Tabulation Area)
Seniors_65_Plus_Count,Derived metrics (density and population counts),metrics,ZCTA (ZIP Code Tabulation Area)
No_Broadband_Households_Estimate,Derived metrics (density and population counts),metrics,ZCTA (ZIP Code Tabulation Area)
ZIP,derived,derived,ZCTA (ZIP Code Tabulation Area)
State,derived,derived,ZCTA (ZIP Code Tabulation Area)
Latitude,derived,derived,ZCTA (ZIP Code Tabulation Area)
Longitude,derived,derived,ZCTA (ZIP Code Tabulation Area)
